regiao,setor,vab,empregos,empresas,share_nacional
Rio Branco,Construção,146.5667133,2796.290486311615,195,0.0004899494383875457
Rio Branco,Serviços,9340.728635000001,231231.24157152456,14643,0.0018220856886516036
BrasilAia,Agropecuária,590.650262,14125.559989156647,938,0.0009995319638428587
BrasilAia,Indústria,95.357005,2105.985077531296,116,4.781451735610597e-05
BrasilAia,Construção,14.30355075,263.1281061759096,24,4.781451735610597e-05
BrasilAia,Serviços,1058.728836,17369.340733695,925,0.00020652507268116032
Sena Madureira,Agropecuária,291.098505,5040.151649168876,340,0.0004926134450345342
Sena Madureira,Indústria,50.036097,1212.8363270460125,35,2.508941874210816e-05
Sena Madureira,Construção,7.505414549999999,176.8223743422673,3,2.508941874210816e-05
Sena Madureira,Serviços,663.800868,10975.298118576746,762,0.0001294869071739511
Cruzeiro do Sul,Agropecuária,290.845827,5317.475320620536,162,0.0004921858489530482
Cruzeiro do Sul,Indústria,199.004945,3585.6688067875175,132,9.978632819532675e-05
Cruzeiro do Sul,Construção,29.850741749999997,588.4117640549086,15,9.978632819532673e-05
Cruzeiro do Sul,Serviços,2301.835528,53831.85108760311,1794,0.00044901653148160504
TarauacA,Agropecuária,371.174415,6099.287986859628,243,0.0006281224538814719
TarauacA,Indústria,50.306506,1168.6135834763804,46,2.5225008946768504e-05
TarauacA,Construção,7.545975899999999,158.29750237205286,6,2.5225008946768504e-05
TarauacA,Serviços,920.945858,18360.797803776153,956,0.00017964789830175512
Manaus,Agropecuária,1246.029669,22955.475356993902,1007,0.0021086022680237757
Manaus,Indústria,38433.384135,704285.348552884,30530,0.019271512489059877
Manaus,Construção,5765.0076202499995,140858.29966143108,7597,0.019271512489059877
Manaus,Serviços,47187.115481999994,784402.2917284467,67778,0.009204738855846517
SAo Gabriel da Cachoeira,Agropecuária,75.617052,1683.0378403591292,119,0.00012796347576252758
SAo Gabriel da Cachoeira,Indústria,50.720784,1170.1428571402482,91,2.543273886258594e-05
SAo Gabriel da Cachoeira,Construção,7.6081176,170.3396462855022,7,2.543273886258594e-05
SAo Gabriel da Cachoeira,Serviços,696.53054,16270.454828564063,846,0.00013587144838864845
Coari,Agropecuária,522.6653329999999,7953.602778966825,857,0.0008844840006624286
Coari,Indústria,2040.218798,35479.98249773462,1729,0.0010230195162612822
Coari,Construção,306.0328197,4681.921570120907,336,0.001023019516261282
Coari,Serviços,1673.4261499999998,28867.414290317003,2566,0.00032643340343976824
Manacapuru,Agropecuária,507.192986,7783.08448674291,604,0.0008583008151512571
Manacapuru,Indústria,169.65050399999998,3266.2231361634945,130,8.506723725205216e-05
Manacapuru,Construção,25.447575599999997,575.8992094085409,39,8.506723725205216e-05
Manacapuru,Serviços,1285.481975,23645.980070952904,1461,0.00025075755877229785
TefA,Agropecuária,601.674403,14004.221437630797,1053,0.0010181876421898033
TefA,Indústria,321.910666,7518.698192658283,634,0.00016141449835355704
TefA,Construção,48.2865999,835.6764635510458,87,0.00016141449835355704
TefA,Serviços,1775.835522,34814.38526384356,3364,0.00034641028729932155
Tabatinga,Agropecuária,173.653867,3556.7002415363345,251,0.0002938669494933985
Tabatinga,Indústria,119.530798,2150.344839299929,195,5.993589475214953e-05
Tabatinga,Construção,17.9296197,393.50875442595697,18,5.993589475214953e-05
Tabatinga,Serviços,1806.334783,29587.086489442896,3156,0.00035235974468686616
EirunepA,Agropecuária,385.784756,6187.399641390573,568,0.0006528469038168616
EirunepA,Indústria,51.653898000000005,1040.4848190737098,86,2.590062683314695e-05
EirunepA,Construção,7.748084700000001,143.06254141284498,5,2.5900626833146945e-05
EirunepA,Serviços,838.8926809999999,20602.46495887777,696,0.0001636418750714167
LAbrea,Agropecuária,476.125184,9950.669188533011,728,0.0008057261137701187
LAbrea,Indústria,105.621128,2355.105581930179,188,5.296121934542187e-05
LAbrea,Construção,15.843169199999998,318.41931324135373,19,5.296121934542187e-05
LAbrea,Serviços,1075.523731,23560.578918652576,1400,0.00020980123442589197
ManicorA,Agropecuária,508.679098,8774.929736642662,600,0.000860815698393365
ManicorA,Indústria,158.975927,3511.448935696824,266,7.971472280137716e-05
ManicorA,Construção,23.846389050000003,547.8635946987077,15,7.971472280137716e-05
ManicorA,Serviços,1316.158966,25063.96723440915,1699,0.00025674168575598406
Parintins,Agropecuária,463.53514499999994,8145.2407558414725,577,0.0007844205337744085
Parintins,Indústria,164.822225,3572.325439514941,233,8.264621081518346e-05
Parintins,Construção,24.72333375,438.3996259169293,38,8.264621081518345e-05
Parintins,Serviços,1986.8964609999998,44364.21087782022,2130,0.000387581713149792
Itacoatiara,Agropecuária,670.776191,14855.208157898727,1088,0.0011351256176861944
Itacoatiara,Indústria,242.50397300000003,5400.20744058457,205,0.00012159788812508482
Itacoatiara,Construção,36.375595950000005,689.3428069368513,59,0.00012159788812508482
Itacoatiara,Serviços,2104.321231,36632.94500279558,4007,0.0004104876342262805
Boa Vista,Agropecuária,741.058705,12437.6363823348,865,0.0012540616848680849
Boa Vista,Indústria,1383.1437000000003,27338.788582086443,2450,0.0006935447317125642
Boa Vista,Construção,207.47155500000005,4665.5468333836825,121,0.0006935447317125642
Boa Vista,Serviços,11376.575743,283213.44051916746,11914,0.0022192161508159777
Pacaraima,Agropecuária,122.01386399999998,2374.7552667218906,83,0.00020647879963181235
Pacaraima,Indústria,31.540131,780.9940139380473,26,1.5815053557033967e-05
Pacaraima,Construção,4.7310196499999995,73.0919381291455,5,1.5815053557033967e-05
Pacaraima,Serviços,731.768554,12164.1378494417,1254,0.00014274528912579612
RorainApolis,Agropecuária,264.627204,6307.981169777169,259,0.0004478172040502114
RorainApolis,Indústria,92.403461,2291.820668878099,179,4.633353249453211e-05
RorainApolis,Construção,13.860519149999998,249.9722393412793,16,4.63335324945321e-05
RorainApolis,Serviços,928.722659,19439.352293425625,1234,0.00018116491034217517
CaracaraA,Agropecuária,106.689639,1707.6221550380872,97,0.0001805462745927905
CaracaraA,Indústria,28.641593,507.83588630900823,47,1.4361650154648033e-05
CaracaraA,Construção,4.29623895,87.26766110964532,4,1.4361650154648033e-05
CaracaraA,Serviços,502.51427400000006,10214.066063018121,440,9.802490820337921e-05
BelAm,Agropecuária,2341.882333,57130.38090123216,4026,0.003963066467567885
BelAm,Indústria,10341.312865,189189.30249106718,11301,0.005185407023516148
BelAm,Construção,1551.19692975,35121.742376853734,1927,0.005185407023516148
BelAm,Serviços,38064.452537000005,825864.1139459438,37096,0.007425191002139195
CametA,Agropecuária,1137.211502,23523.159394453163,1386,0.0019244539772992552
CametA,Indústria,69.919115,1070.2475921543873,59,3.505928838359667e-05
CametA,Construção,10.48786725,214.35179549625025,20,3.505928838359667e-05
CametA,Serviços,1477.038063,25337.236667611833,2462,0.00028812419473376395
Abaetetuba,Agropecuária,1116.7017,21103.78181209589,1575,0.0018897461239552602
Abaetetuba,Indústria,395.179895,6306.314812944159,209,0.000198153622256295
Abaetetuba,Construção,59.27698425,891.3224413377478,116,0.000198153622256295
Abaetetuba,Serviços,3274.7024329999995,68256.96633407362,2190,0.0006387926114676047
Castanhal,Agropecuária,1319.641747,28116.70063844517,1772,0.002233172812759932
Castanhal,Indústria,843.867433,20003.48412554266,1300,0.00042313738798141877
Castanhal,Construção,126.58011495,3130.6109789540296,190,0.00042313738798141877
Castanhal,Serviços,5406.742692,103863.21508946463,9511,0.0010546873660798564
BraganAa,Agropecuária,645.775113,15305.59176162923,338,0.0010928173716745664
BraganAa,Indústria,135.720031,2128.4749693512867,109,6.805360317074493e-05
BraganAa,Construção,20.35800465,484.58106062803347,32,6.805360317074494e-05
BraganAa,Serviços,2137.481739,48386.68728577868,1789,0.0004169562181468985
Capanema,Agropecuária,326.460412,6612.283183257116,243,0.000552454875103922
Capanema,Indústria,425.436122,7993.9807418192795,231,0.00021332489248465194
Capanema,Construção,63.8154183,1346.4025162747057,41,0.00021332489248465192
Capanema,Serviços,2025.5778249999998,40449.99072097011,4050,0.0003951272443943065
Paragominas,Agropecuária,2247.0681759999998,35497.07944848075,4280,0.003802616558978298
Paragominas,Indústria,1950.395623,37968.21933140777,2677,0.0009779798072224123
Paragominas,Construção,292.55934345,5091.663619623554,421,0.0009779798072224123
Paragominas,Serviços,3646.238856,68541.62784107141,7001,0.0007112678139506827
CapitAo PoAo,Agropecuária,447.07809299999997,6954.478937999087,846,0.00075657097446172
CapitAo PoAo,Indústria,73.685223,1740.3457692163202,126,3.694771426621503e-05
CapitAo PoAo,Construção,11.052783449999998,239.43540361768962,13,3.694771426621503e-05
CapitAo PoAo,Serviços,848.544396,15651.37652314991,538,0.00016552462452915686
MarabA,Agropecuária,2032.2338029999999,37195.656100248074,2040,0.003439061615281957
MarabA,Indústria,6940.264976999999,166072.1756847557,8261,0.0034800319095460355
MarabA,Construção,1041.0397465499998,23195.890530029246,1005,0.003480031909546035
MarabA,Serviços,7229.496440000001,114555.04641023774,5071,0.0014102499402587254
Parauapebas,Agropecuária,614.187715,9550.016001467713,896,0.0010393633803926223
Parauapebas,Indústria,74647.550378,1717390.6461322852,44515,0.03743025059501057
Parauapebas,Construção,11197.1325567,224726.12842018055,18244,0.03743025059501057
Parauapebas,Serviços,11685.03612,287805.8057936024,12792,0.0022793871781961964
TucuruA,Agropecuária,1446.9331180000001,22710.98321992749,1678,0.002448582509870809
TucuruA,Indústria,4424.6035870000005,108183.59394301091,2826,0.0022186129378172085
TucuruA,Construção,663.6905380500001,13879.275047529716,422,0.0022186129378172085
TucuruA,Serviços,3199.569181,63884.8965413017,2796,0.0006241364504163043
RedenAAo,Agropecuária,1735.555263,40135.38825630037,1171,0.002937005317681886
RedenAAo,Indústria,1047.076411,17329.881669775536,1997,0.000525031729204673
RedenAAo,Construção,157.06146164999998,2547.806021866933,92,0.0005250317292046729
RedenAAo,Serviços,3396.3900510000003,81525.59480702726,3549,0.0006625300816273836
TucumA - SAo FAlix do Xingu,Agropecuária,1151.913891,24689.97607131292,1857,0.0019493341960950467
TucumA - SAo FAlix do Xingu,Indústria,891.1141140000001,18370.5995125902,1097,0.00044682811997004304
TucumA - SAo FAlix do Xingu,Construção,133.6671171,2499.3355944480845,216,0.00044682811997004304
TucumA - SAo FAlix do Xingu,Serviços,1753.4940149999998,26860.769656516364,2662,0.0003420521540360261
Xinguara,Agropecuária,643.49743,11946.52532550756,1235,0.0010889629469693395
Xinguara,Indústria,570.093933,12261.860985734185,929,0.0002858601342821035
Xinguara,Construção,85.51408995,1376.735876073208,164,0.0002858601342821035
Xinguara,Serviços,1285.141216,20686.39428409387,2388,0.00025069108728795853
SantarAm,Agropecuária,1468.95814,34057.380541026854,884,0.002485854504669894
SantarAm,Indústria,663.452749,13482.886984870445,1070,0.0003326727069712049
SantarAm,Construção,99.51791235,1672.2397234109515,184,0.0003326727069712049
SantarAm,Serviços,5820.021931,136397.96494746857,8285,0.0011353052938908733
Itaituba,Agropecuária,810.104685,13173.880989454885,711,0.0013709052188930553
Itaituba,Indústria,1233.402846,25993.78802271564,1173,0.0006184607180892216
Itaituba,Construção,185.0104269,4205.103315657614,322,0.0006184607180892216
Itaituba,Serviços,3345.084165,78427.49039588029,2310,0.000652521898724617
OriximinA,Agropecuária,1106.919843,24778.75841789183,2191,0.00187319270924224
OriximinA,Indústria,1833.136434,28762.07973147861,1834,0.0009191829571367432
OriximinA,Construção,274.9704651,4966.819966638614,195,0.0009191829571367432
OriximinA,Serviços,2250.321171,46914.535358464826,3240,0.00043896768236954755
Altamira,Agropecuária,1947.894075,32853.47838249487,2101,0.0032963371311306023
Altamira,Indústria,4434.006628,71939.83030920499,8822,0.0022233278705806134
Altamira,Construção,665.1009942,13053.118828485529,565,0.002223327870580613
Altamira,Serviços,3430.7741210000004,67556.40390034001,3923,0.000669237344445173
Almeirim - Porto de Moz,Agropecuária,193.242616,3792.028569238115,297,0.00032701614457018803
Almeirim - Porto de Moz,Indústria,228.11402900000002,4024.2135817213325,306,0.00011438239066748961
Almeirim - Porto de Moz,Construção,34.21710435,816.5997755423214,26,0.00011438239066748961
Almeirim - Porto de Moz,Serviços,590.8047329999999,11274.66688174124,1063,0.00011524763119156084
Breves,Agropecuária,1169.733123,28099.32890021463,1153,0.001979488913871387
Breves,Indústria,131.421969,2398.8402862744183,261,6.589844152219462e-05
Breves,Construção,19.71329535,368.84703006051177,38,6.589844152219462e-05
Breves,Serviços,2677.661454,45407.974311081416,4964,0.0005223284826095843
Soure-Salvaterra,Agropecuária,393.597866,9620.06191470825,676,0.000666068692893153
Soure-Salvaterra,Indústria,41.37881,657.4219377067465,22,2.0748426703628237e-05
Soure-Salvaterra,Construção,6.2068215,133.3671744363423,5,2.0748426703628237e-05
Soure-Salvaterra,Serviços,934.9507020000001,22859.480088609645,1744,0.00018237980785842304
MacapA,Agropecuária,129.836899,2370.4444670282755,67,0.00021971738435754202
MacapA,Indústria,1323.8051080000002,31552.042916735692,2194,0.0006637907966233603
MacapA,Construção,198.57076620000004,3147.1004347380053,266,0.0006637907966233603
MacapA,Serviços,13042.609418,318662.4698599634,15956,0.0025442075122665653
Laranjal do Jari,Agropecuária,19.640083,386.701775141861,26,3.3236065390972e-05
Laranjal do Jari,Indústria,382.73037100000005,9429.96518615153,329,0.00019191110256544213
Laranjal do Jari,Construção,57.40955565000001,1102.9210898154286,29,0.00019191110256544213
Laranjal do Jari,Serviços,927.163129,21024.541112232564,1789,0.00018086069453577915
Oiapoque,Agropecuária,148.849744,2981.1522094474403,231,0.0002518920019336701
Oiapoque,Indústria,51.740947,1229.7129490423345,99,2.594427549767171e-05
Oiapoque,Construção,7.761142049999999,190.22628794530937,14,2.594427549767171e-05
Oiapoque,Serviços,1061.3322150000001,19260.966152578305,1656,0.0002070329109669512
Porto Grande,Agropecuária,48.033944000000005,993.6947738034977,50,8.128577174395278e-05
Porto Grande,Indústria,607.323002,11377.614374947885,441,0.0003045277713985604
Porto Grande,Construção,91.0984503,1628.1433323065598,123,0.0003045277713985604
Porto Grande,Serviços,762.3806590000002,13613.758073594901,670,0.00014871675886863814
Palmas,Agropecuária,788.258764,13897.605960414412,547,0.0013339363089917068
Palmas,Indústria,1132.547901,17741.253004426984,2076,0.0005678893886084811
Palmas,Construção,169.88218514999997,2669.704827001407,207,0.0005678893886084811
Palmas,Serviços,8042.569573000001,157823.7030288181,5777,0.0015688552244241638
Porto Nacional,Agropecuária,1566.125452,35273.0640246549,1744,0.002650286555975226
Porto Nacional,Indústria,719.5379229999999,12835.695607925249,709,0.0003607952924660326
Porto Nacional,Construção,107.93068844999998,2007.80586091637,145,0.0003607952924660326
Porto Nacional,Serviços,2509.0995949999997,57706.09551377705,4921,0.0004894473056759595
ParaAso do Tocantins,Agropecuária,1879.6557990000001,39700.38914792445,2663,0.0031808604397488404
ParaAso do Tocantins,Indústria,326.027309,5501.154488219409,560,0.0001634786917305658
ParaAso do Tocantins,Construção,48.904096349999996,1006.3553441806021,74,0.0001634786917305658
ParaAso do Tocantins,Serviços,2129.091257,41132.45091857227,4111,0.000415319496026977
Miracema do Tocantins,Agropecuária,550.575574,13217.957911059299,663,0.0009317152977477714
Miracema do Tocantins,Indústria,241.61642099999997,5610.393991295265,320,0.00012115284614302542
Miracema do Tocantins,Construção,36.24246314999999,904.3590334397063,70,0.0001211528461430254
Miracema do Tocantins,Serviços,638.542856,10557.851124111301,1273,0.00012455985447952386
AraguaAna,Agropecuária,1763.479192,42360.13966303095,3218,0.00298425977837927
AraguaAna,Indústria,1040.633083,18658.783702966866,1825,0.0005218008746021497
AraguaAna,Construção,156.09496245,2982.277249299885,274,0.0005218008746021497
AraguaAna,Serviços,5638.982834999999,85152.17768814748,9590,0.0010999901960223838
GuaraA,Agropecuária,1253.772034,20696.589539116627,799,0.0021217043383877743
GuaraA,Indústria,249.678124,5572.916270592973,133,0.00012519519665532677
GuaraA,Construção,37.4517186,624.6861090436221,74,0.00012519519665532677
GuaraA,Serviços,1582.0572119999997,31950.504252349125,2724,0.0003086101649299498
Colinas do Tocantins,Agropecuária,519.078662,7933.090130461575,392,0.0008784144320209977
Colinas do Tocantins,Indústria,168.626507,2664.8394555708596,295,8.455377814824433e-05
Colinas do Tocantins,Construção,25.29397605,596.9249778639665,15,8.455377814824433e-05
Colinas do Tocantins,Serviços,1016.8844330000001,20411.00387656558,1619,0.000198362530888566
TocantinApolis,Agropecuária,161.612886,2790.5400062536924,104,0.0002734905166704083
TocantinApolis,Indústria,73.66431,1459.0658570745995,130,3.693722793643289e-05
TocantinApolis,Construção,11.0496465,265.59165187013207,10,3.693722793643289e-05
TocantinApolis,Serviços,599.864554,12972.484410714136,477,0.0001170149205359906
Araguatins,Agropecuária,529.167294,9273.784678737371,822,0.0008954869888354192
Araguatins,Indústria,80.148325,1569.6495627506026,109,4.018848407387923e-05
Araguatins,Construção,12.02224875,187.04293507406555,19,4.018848407387922e-05
Araguatins,Serviços,1450.140284,22269.13390929279,2205,0.00028287727448936555
Gurupi,Agropecuária,3649.417834,61127.19149189886,4716,0.006175752402360183
Gurupi,Indústria,858.355549,18181.198638485334,474,0.0004304021114691088
Gurupi,Construção,128.75333235,2320.1969698986027,73,0.0004304021114691088
Gurupi,Serviços,3673.208905,78735.60997468044,6592,0.0007165288318247056
DianApolis,Agropecuária,703.231558,15275.402166175718,381,0.001190048435471638
DianApolis,Indústria,109.436359,2147.25817736942,190,5.4874276795863536e-05
DianApolis,Construção,16.41545385,281.0461994900729,11,5.4874276795863536e-05
DianApolis,Serviços,1050.227009,22155.383435371026,1459,0.0002048666306142271
SAo LuAs,Agropecuária,214.034755,5309.757755658134,387,0.00036220178464218666
SAo LuAs,Indústria,8184.408943,147719.98847720987,11012,0.00410387850850121
SAo LuAs,Construção,1227.66134145,28406.192015408804,841,0.00410387850850121
SAo LuAs,Serviços,26017.988484,459001.9325551571,32987,0.005075300473515857
Pinheiro,Agropecuária,377.1511,7176.706884364556,261,0.0006382365401346328
Pinheiro,Indústria,124.10049300000001,3024.345187242046,86,6.222726035124329e-05
Pinheiro,Construção,18.615073950000003,366.5126152596061,33,6.222726035124329e-05
Pinheiro,Serviços,2266.2745370000002,35677.52740873722,2091,0.00044207968797535237
Chapadinha,Agropecuária,254.400533,5574.700111969991,226,0.00043051104978966383
Chapadinha,Indústria,107.413679,2538.0390559356965,174,5.3860051695506744e-05
Chapadinha,Construção,16.11205185,260.89796632997263,32,5.3860051695506744e-05
Chapadinha,Serviços,2033.6720480000001,39486.85598956664,2863,0.0003967061755960751
Itapecuru Mirim,Agropecuária,154.965745,2718.50653704377,185,0.0002622418466449807
Itapecuru Mirim,Indústria,651.1236769999999,15701.6886929179,552,0.00032649058509008367
Itapecuru Mirim,Construção,97.66855154999999,1996.909109662399,128,0.00032649058509008367
Itapecuru Mirim,Serviços,1737.5001459999999,26243.27931439764,3186,0.0003389322475544405
Viana,Agropecuária,333.661942,7416.274410965068,414,0.0005646417137234454
Viana,Indústria,75.71891,1576.6721171990225,80,3.796745856668239e-05
Viana,Construção,11.3578365,219.85758202918342,10,3.796745856668239e-05
Viana,Serviços,1626.264335,30649.874259063865,2015,0.0003172335999211925
Barreirinhas,Agropecuária,75.957667,1462.2862620263315,80,0.00012853988383642147
Barreirinhas,Indústria,47.56163599999999,1044.8101849356533,71,2.3848658732589115e-05
Barreirinhas,Construção,7.134245399999998,113.08376639058528,13,2.3848658732589115e-05
Barreirinhas,Serviços,810.537859,16859.20939635326,451,0.00015811073104729064
TutAia - Araioses,Agropecuária,162.243559,3972.533197806338,313,0.00027455777738760186
TutAia - Araioses,Indústria,67.85595599999999,1422.8028295880385,39,3.40247660450028e-05
TutAia - Araioses,Construção,10.1783934,215.24870179058374,11,3.4024766045002807e-05
TutAia - Araioses,Serviços,1224.389335,20045.20944612925,1475,0.0002388402845021901
Cururupu,Agropecuária,124.921483,2699.5087256454703,215,0.00021139923786091927
Cururupu,Indústria,30.54122,748.6416277093634,35,1.53141732352715e-05
Cururupu,Construção,4.581182999999999,82.30860953630341,6,1.5314173235271498e-05
Cururupu,Serviços,783.309068,12446.815304709144,492,0.00015279924065515107
Santa InAs,Agropecuária,684.827591,11134.863757762236,928,0.0011589041958742143
Santa InAs,Indústria,347.093346,7384.708186217938,637,0.00017404175830088093
Santa InAs,Construção,52.0640019,1136.3520784442858,64,0.00017404175830088093
Santa InAs,Serviços,3754.840381,62934.69611017857,3283,0.0007324525943035528
Bacabal,Agropecuária,614.259001,12833.477053486578,923,0.001039484014615882
Bacabal,Indústria,205.788235,4669.216838813527,103,0.00010318764871117663
Bacabal,Construção,30.868235249999998,684.654980047134,54,0.00010318764871117663
Bacabal,Serviços,3315.838611,76542.87227641401,3584,0.0006468170005863265
Governador Nunes Freire,Agropecuária,309.114001,4973.667955444632,436,0.0005231002919132767
Governador Nunes Freire,Indústria,2253.6322259999997,37125.907394870956,2979,0.0011300306378577716
Governador Nunes Freire,Construção,338.04483389999996,6167.871239951843,458,0.0011300306378577716
Governador Nunes Freire,Serviços,1749.659484,39666.63804321467,2542,0.00034130415628008974
Pedreiras,Agropecuária,200.316859,3022.5611236716813,348,0.0003389875808894554
Pedreiras,Indústria,3571.452372,64613.0005521136,1849,0.0017908204166804508
Pedreiras,Construção,535.7178558,10375.043342645815,1060,0.001790820416680451
Pedreiras,Serviços,1816.7796130000002,32366.52463842254,1265,0.0003543972062176602
Caxias,Agropecuária,300.2029,7037.090269548738,522,0.0005080204200236541
Caxias,Indústria,230.10877100000002,5603.166745519335,310,0.00011538260691777929
Caxias,Construção,34.51631565,700.2312815765355,66,0.00011538260691777929
Caxias,Serviços,2349.90213,44160.77813312736,1739,0.00045839283080777773
Timon,Agropecuária,222.218344,4797.10751512274,127,0.0003760505193515481
Timon,Indústria,319.320855,5314.447450390557,327,0.00016011589881167196
Timon,Construção,47.89812825,945.3733980167332,50,0.00016011589881167196
Timon,Serviços,2266.2357009999996,39939.89884490287,1477,0.0004420721122794328
CodA,Agropecuária,147.706519,3220.4117981989743,113,0.00024995737157306553
CodA,Indústria,544.531647,12489.26611670043,799,0.00027304252987423914
CodA,Construção,81.67974705,1689.6231424546158,50,0.00027304252987423914
CodA,Serviços,1716.554621,30194.233552111604,3374,0.00033484642696858275
Presidente Dutra,Agropecuária,344.781153,6829.190671834161,481,0.0005834582749310542
Presidente Dutra,Indústria,122.652835,2701.7705634533586,218,6.150136644794057e-05
Presidente Dutra,Construção,18.39792525,282.0264138489763,32,6.150136644794057e-05
Presidente Dutra,Serviços,1907.664879,35536.4917478444,3542,0.00037212609536099565
SAo JoAo dos Patos,Agropecuária,475.093123,9654.993249155425,866,0.0008039796014522497
SAo JoAo dos Patos,Indústria,121.005951,2372.6190144152356,60,6.0675575373635195e-05
SAo JoAo dos Patos,Construção,18.15089265,401.00240979043986,27,6.0675575373635195e-05
SAo JoAo dos Patos,Serviços,1249.0863519999998,21756.340044848974,1764,0.0002436579045173427
Colinas,Agropecuária,260.767063,6435.058559083931,314,0.00044128485392244606
Colinas,Indústria,51.009164000000006,1171.4624767877579,84,2.5577340200632936e-05
Colinas,Construção,7.6513746000000005,128.70750249354919,10,2.5577340200632936e-05
Colinas,Serviços,663.3416870000001,14103.710121926715,1182,0.00012939733523997313
Imperatriz,Agropecuária,867.3733609999999,14367.217725431412,1165,0.0014678185293098384
Imperatriz,Indústria,2476.3969309999998,58139.96209204165,4494,0.0012417307363827865
Imperatriz,Construção,371.45953964999995,7824.839756873305,462,0.0012417307363827863
Imperatriz,Serviços,7712.51377,171417.5517599465,8720,0.0015044716009829165
Barra do Corda,Agropecuária,606.704796,12821.262033884439,674,0.0010267003593046082
Barra do Corda,Indústria,280.180465,4225.853121497823,244,0.00014048987493456137
Barra do Corda,Construção,42.02706975,919.3738825921589,53,0.00014048987493456134
Barra do Corda,Serviços,2063.63637,50173.48549648699,1568,0.00040255128301968333
AAailAndia,Agropecuária,1016.6887509999999,15338.066394760013,1286,0.001720498523886159
AAailAndia,Indústria,1455.417895,25014.446124272552,2212,0.0007297849193235957
AAailAndia,Construção,218.31268425,3954.4323760045086,374,0.0007297849193235957
AAailAndia,Serviços,2527.0081250000003,43572.38057932759,2891,0.0004929407029785554
Balsas,Agropecuária,6138.47161,107135.41309144095,7294,0.010387870755463975
Balsas,Indústria,465.88241700000003,8637.684539404378,312,0.00023360573157211784
Balsas,Construção,69.88236255,1274.304147200262,113,0.0002336057315721178
Balsas,Serviços,5017.858346,118727.21958613706,8150,0.0009788281232867232
Teresina,Agropecuária,253.66916899999998,5143.3520977618355,306,0.000429273394035938
Teresina,Indústria,3718.470168,58912.4406704883,7116,0.001864539017201707
Teresina,Construção,557.7705252,9798.487879065277,416,0.001864539017201707
Teresina,Serviços,19022.440556,367750.07374169107,33777,0.0037106866128665188
Amarante - Agua Branca - RegeneraAAo,Agropecuária,269.54294,6545.0601111882415,505,0.0004561358920690326
Amarante - Agua Branca - RegeneraAAo,Indústria,107.587067,2336.1390357923046,96,5.394699301182997e-05
Amarante - Agua Branca - RegeneraAAo,Construção,16.13806005,324.65016215362846,24,5.394699301182997e-05
Amarante - Agua Branca - RegeneraAAo,Serviços,1325.615577,29505.964831368987,1566,0.00025858637649046076
Campo Maior,Agropecuária,154.01629,3134.2979020302732,120,0.0002606351248981436
Campo Maior,Indústria,93.931517,1955.8733328594624,98,4.7099740075538895e-05
Campo Maior,Construção,14.08972755,350.46048242376645,25,4.7099740075538895e-05
Campo Maior,Serviços,1249.29818,29720.128508311733,904,0.00024369922557294105
ValenAa do PiauA,Agropecuária,108.64420799999999,1715.8554847212808,168,0.00018385390741161142
ValenAa do PiauA,Indústria,53.356012,1199.4074189250916,42,2.6754111686148263e-05
ValenAa do PiauA,Construção,8.003401799999999,167.87534112505966,8,2.675411168614826e-05
